Material Cost (R),Material Charges (R),Asset ID,Install Date,Asset MFG Date,In Service?,Model Number,Model Number MFG,Manufacturer ID
0,0,127130,11/16/2016,3/1/2016,TRUE,PRIME BIG WHEEL,1115,Stryker
0,0,129756,6/21/2017,5/1/2008,TRUE,M-SERIES,1015,Stryker
0,0,MX1949873,2/16/2023,,TRUE,ZOOM,1125,Stryker
0,0,MX2541555,5/26/2022,,TRUE,ZOOM,1125-000-000E,Stryker
0,0,EE37823,7/23/2019,,TRUE,ADVANCE,1135,HILL-ROM
0,0,EE45660,10/23/2015,,TRUE,VERSACARE,P3200K000500,HILL-ROM
0,0,MX1771272,11/5/2019,,TRUE,1000,P1000,HILL-ROM
0,0,MX1993226,7/6/2023,,TRUE,EVOLUTION,33060400,SIZEWISE
117.26,146.58,MX2054804,12/4/2020,12/10/2019,TRUE,CENTRELLA,P7900B100242,HILL-ROM
2996.23,3438.75,12118,9/15/2022,6/1/2007,TRUE,SECURE,3002,Stryker
0,0,136882,1/29/2019,,TRUE,CENTRELLA,P7900B000010,HILL-ROM
0,0,EE145156,2/14/2024,,TRUE,Procuity,,Stryker
1557.58,1557.58,125510,11/3/2016,11/1/2003,TRUE,RENAISSANCE,1231,Stryker
0,0,130574,1/30/2019,,TRUE,COJACK-PLUS,COJACK-PLUS,
0,0,2.00101E+12,11/18/2022,,TRUE,PRIME ZOOM,1125,Stryker
42.71,49.12,32668,10/20/2022,,TRUE,5TH WHEEL STRETCHER,1105,Stryker
684.07,743.33,EE151719,1/31/2017,9/14/2015,TRUE,PROGRESSA,P7500,HILL-ROM
604.66,302.33,EE169371,7/24/2019,,TRUE,EVOLUTION,EVOLUTION,SIZEWISE
546.71,628.72,EE191228,12/23/2020,,TRUE,CENTRELLA,P7900,HILL-ROM
156.95,180.5,EE96422,5/14/2019,8/28/2009,TRUE,VERSACARE,P3200H000293,HILL-ROM
0,0,MX1658675,12/9/2019,11/1/2017,TRUE,S3 PATRIOT,3002S3,Stryker
0,0,MX1993022,7/6/2023,,TRUE,EVOLUTION,33060400,SIZEWISE
0,0,MX2052590,5/11/2020,12/9/2019,TRUE,CENTRELLA,P7900,HILL-ROM
345.33,397.13,18012,9/16/2022,11/1/2013,TRUE,S3,3005,Stryker
0,0,EE118635,5/30/2023,5/25/2016,TRUE,VERSACARE,,HILL-ROM
0,0,EE145252,2/14/2024,,TRUE,Procuity,,Stryker
0,0,113056,11/1/2016,10/1/2011,TRUE,PRIME BIG WHEEL,1115,Stryker
0,0,33388,1/25/2023,,TRUE,EYE SURGERY STRETCHER,1079,Stryker
1104.33,1307.39,MX1928284,9/29/2021,11/19/2018,TRUE,PROGRESSA,P7500,HILL-ROM
0,0,EE112090,2/15/2018,,TRUE,TRI-FLEX II,TRI-FLEX II,HILL-ROM
0,0,EE150669,7/24/2019,,TRUE,MAXI REST,4748,GENDRON
0,0,136961,1/30/2019,,TRUE,CENTRELLA,P7900B000011,HILL-ROM
0,0,33386,12/8/2023,11/1/2008,TRUE,EYE SURGERY STRETCHER,1079,Stryker
1506.23,1732.17,EE110536,5/14/2019,4/8/2011,TRUE,VERSACARE,P3200J000001,HILL-ROM
0,0,M045AE1939,5/13/2019,,TRUE,VERSACARE,P3200,HILL-ROM
721.42,831.85,12170,11/23/2022,6/1/2007,TRUE,SECURE,3002,Stryker
665.04,665.04,119271,11/21/2016,,TRUE,PRIME BIG WHEEL,1115,Stryker
0,0,33393,1/21/2023,,TRUE,M-SERIES,1015,Stryker
0,0,138476,10/28/2019,,TRUE,PROGRESSA,P7500A000912,HILL-ROM
0,0,159653,10/31/2019,,TRUE,PROGRESSA,P7500A000912,HILL-ROM
2013.41,2491.4,EE151725,12/5/2018,9/14/2015,TRUE,PROGRESSA,P7500,HILL-ROM
0,0,EE191996,12/15/2022,,TRUE,OOK SNOW,,Umano
0,0,EE72677,8/14/2023,6/9/2022,TRUE,CENTRELLA,P7900B200468,HILL-ROM
0,0,EE72683,8/14/2023,6/9/2022,TRUE,CENTRELLA,P7900,HILL-ROM
0,0,MX1811915,5/17/2019,7/12/2018,TRUE,VERSACARE,P3200K000122,HILL-ROM
0,0,MX2585025,11/18/2021,9/14/2021,TRUE,Centrella,CNT-355,HILL-ROM
0,0,MX2107805,5/15/2023,10/2/2019,TRUE,PROGRESSA,P7500,HILL-ROM
21.04,17.29,12728,9/27/2022,,TRUE,INTOUCH,,Stryker
0,0,158188,4/12/2022,,TRUE,CENTRELLA,P7900B200467,HILL-ROM
31.48,39.35,EE107278,5/17/2019,1/17/2011,TRUE,VERSACARE,P3200J000293,HILL-ROM
43.02,53.78,107115,10/25/2019,,TRUE,TRANSTAR,P8000,HILL-ROM
0,0,132558,10/31/2019,,TRUE,TMM4,TMM4,TRANSMOTION
0,0,154411,3/16/2022,,TRUE,ZOOM,1125000000E,Stryker
33.46,38.48,19532,9/21/2022,3/1/2015,TRUE,ZOOM,1125,Stryker
0,0,29319,1/18/2023,7/1/2020,TRUE,ZOOM,1125,Stryker
0,0,MX1757106,5/20/2019,,TRUE,ZOOM,1125,Stryker
517.75,517.75,MX1645492,5/14/2019,9/21/2017,TRUE,VERSACARE,P3200K000122,HILL-ROM
0,0,MX2213654,4/10/2023,3/1/2020,TRUE,PATRIOT,3005S3,Stryker
994.62,1015.45,136771,1/23/2019,,TRUE,AFFINITY 4,P3700E000010,HILL-ROM
0,0,136801,1/23/2019,,TRUE,CENTRELLA,P7900B000010,HILL-ROM
0,0,EE192668,1/4/2021,,TRUE,OOK SNOW,FL36,Umano
0,0,EE73281,10/25/2022,7/27/2022,TRUE,CENTRELLA,P7900B300468,HILL-ROM
0,0,126780,11/17/2016,11/1/2015,TRUE,STRETCHER CHAIR,5050,Stryker
512.79,421.47,130539,8/24/2018,9/21/2017,TRUE,PROGRESSA,P7500A000131,HILL-ROM
0,0,138459,10/31/2019,,TRUE,PROGRESSA,P7500A000912,HILL-ROM
98.52,113.29,MX2257277,7/10/2019,,TRUE,TRANSTAR,P8000,HILL-ROM
0,0,EE35800,10/23/2015,,TRUE,VERSACARE,P3200J,HILL-ROM
0,0,MX1658689,12/9/2019,11/1/2017,TRUE,S3 PATRIOT,3002S3,Stryker
0,0,MX2584079,12/2/2021,9/2/2021,TRUE,CENTRELLA,P7900B200453,HILL-ROM
0,0,138460,10/15/2020,,TRUE,PROGRESSA,P7500A000912,HILL-ROM
0,0,136909,1/29/2019,,TRUE,CENTRELLA,P7900B000010,HILL-ROM
0,0,176838,4/8/2022,,TRUE,CENTRELLA,P7900B200467,HILL-ROM
0,0,18015,9/19/2022,11/1/2013,TRUE,S3,3005,Stryker
0,0,EE191234,12/23/2020,,TRUE,CENTRELLA,P7900,HILL-ROM
0,0,127119,11/18/2016,,TRUE,PRIME BIG WHEEL,1115,Stryker
